City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nikolskoye,90,RU,1587271830,88,59.7,30.79,37.4,11.18
Hasaki,20,JP,1587271912,52,35.73,140.83,70.0,14.99
Tuktoyaktuk,75,CA,1587272076,84,69.45,-133.04,1.4,9.17
Buraidah,20,SA,1587272412,87,26.33,43.98,60.8,8.05
Port Alfred,0,ZA,1587271838,76,-33.59,26.89,62.01,4.0
Tasiilaq,99,GL,1587272068,86,65.61,-37.64,30.2,18.34
Mataura,57,NZ,1587272062,77,-46.19,168.86,50.0,8.01
Mareeba,32,AU,1587271931,56,-17.0,145.43,89.01,5.99
Carnarvon,20,AU,1587272075,61,-24.87,113.63,82.4,17.22
Jumla,19,NP,1587272285,15,29.27,82.18,62.74,6.78
Saint-Philippe,35,RE,1587271878,74,-21.36,55.77,78.8,18.34
Saskylakh,0,RU,1587271901,91,71.92,114.08,23.56,6.17
Vaini,40,TO,1587271864,78,-21.2,-175.2,80.6,10.29
São Filipe,6,CV,1587272050,71,14.9,-24.5,70.83,15.46
Yuancheng,20,CN,1587272425,15,36.65,107.79,66.9,11.56
Yarkovo,99,RU,1587272426,49,57.4,67.08,50.54,7.61
Salalah,40,OM,1587271864,69,17.02,54.09,82.4,3.36
Sarangani,32,PH,1587272171,76,5.4,125.46,83.98,21.03
Pevek,74,RU,1587272113,94,69.7,170.31,3.31,4.61
Coquimbo,4,CL,1587272431,93,-29.95,-71.34,57.2,4.7
Atuona,74,PF,1587271847,76,-9.8,-139.03,82.36,15.86
Puerto del Rosario,20,ES,1587271992,77,28.5,-13.86,62.6,9.17
Shimoda,20,JP,1587272436,52,34.67,138.95,68.0,12.75
Talnakh,100,RU,1587272437,74,69.49,88.4,37.4,38.03
Kavieng,84,PG,1587272061,70,-2.57,150.8,84.13,4.18
Aksu,100,CN,1587272441,26,41.12,80.26,65.3,7.34
Turtas,99,RU,1587272442,56,58.94,69.13,49.57,9.28
Saint-Joseph,23,RE,1587272444,74,-21.37,55.62,78.8,18.34
Chokurdakh,100,RU,1587272445,93,70.63,147.92,8.62,12.53
Kavaratti,20,IN,1587272086,70,10.57,72.64,87.8,5.82
Kostomuksha,62,RU,1587272447,87,64.57,30.58,32.25,6.78
Kruisfontein,29,ZA,1587271868,32,-34.0,24.73,70.2,9.4
Jaciara,100,BR,1587272450,87,-15.97,-54.97,68.61,0.6
Naze,75,JP,1587271914,83,28.37,129.48,75.2,20.8
Paso de los Toros,0,UY,1587272453,90,-32.82,-56.52,57.07,9.6
Arraial do Cabo,99,BR,1587271809,67,-22.97,-42.03,73.09,3.24
Rolla,1,US,1587272456,43,37.95,-91.77,51.8,10.29
Parfen'yevo,42,RU,1587272457,71,58.48,43.41,39.65,2.86
Teguise,5,ES,1587272459,77,29.06,-13.56,60.8,3.36
Zhangaözen,96,KZ,1587272460,26,43.3,52.8,71.22,12.08
Sioux Lookout,75,CA,1587272145,58,50.1,-91.92,28.4,8.05
Constitución,10,CL,1587272251,83,-35.33,-72.42,56.59,12.01
Charters Towers,14,AU,1587272275,29,-20.1,146.27,91.17,4.65
Baltoji Vokė,61,LT,1587272465,80,54.6,25.2,33.01,9.17
Srednekolymsk,51,RU,1587271870,91,67.45,153.68,11.14,12.46
Mahébourg,40,MU,1587271856,74,-20.41,57.7,80.01,14.99
Camacha,40,PT,1587272468,77,33.08,-16.33,60.8,11.41
Hithadhoo,49,MV,1587272072,73,-0.6,73.08,84.6,10.63
Edd,99,ER,1587272471,62,13.93,41.69,86.36,6.55
Zwiesel,54,DE,1587272472,68,49.02,13.23,46.99,1.32
Uptar,51,RU,1587272475,81,59.75,150.92,8.89,7.16
Souillac,40,MU,1587272085,74,-20.52,57.52,80.01,14.99
Cidreira,0,BR,1587271874,85,-30.18,-50.21,65.95,12.84
Bambous Virieux,40,MU,1587271884,74,-20.34,57.76,80.01,14.99
Port Lincoln,95,AU,1587271897,46,-34.73,135.87,69.04,15.73
Kapaa,1,US,1587272058,65,22.08,-159.32,77.0,8.05
Hermanus,93,ZA,1587272483,63,-34.42,19.23,64.0,4.0
Bemidji,90,US,1587272485,83,47.47,-94.88,34.0,9.17
Cabo San Lucas,3,MX,1587271961,74,22.89,-109.91,68.0,11.9
Hellín,20,ES,1587272487,100,38.51,-1.7,51.8,4.7
Ketchikan,1,US,1587272488,62,55.34,-131.65,53.6,13.87
Lac-au-Saumon,5,CA,1587272489,40,48.42,-67.35,33.8,17.22
Lüderitz,16,NA,1587272058,93,-26.65,15.16,59.0,2.24
New Norfolk,89,AU,1587272073,74,-42.78,147.06,57.0,1.66
Hihyā,40,EG,1587272493,93,30.67,31.59,60.8,10.29
Kahului,20,US,1587272494,65,20.89,-156.47,77.0,10.29
Hay River,75,CA,1587271921,64,60.82,-115.8,39.2,16.11
Teya,1,RU,1587272106,60,60.38,92.63,41.76,6.42
Marataizes,98,BR,1587272458,84,-21.04,-40.82,70.66,6.73
Qaqortoq,100,GL,1587271915,68,60.72,-46.03,28.4,3.36
Nosivka,78,UA,1587272501,57,50.93,31.58,44.46,6.4
Avarua,40,CK,1587272027,74,-21.21,-159.78,78.8,9.17
Senno,98,RU,1587272506,82,59.53,33.92,36.18,4.23
Río Gallegos,91,AR,1587272101,70,-51.62,-69.22,42.8,11.41
Puerto Ayora,13,EC,1587272508,88,-0.74,-90.35,80.01,5.01
Awjilah,10,LY,1587272509,35,29.11,21.29,67.21,3.2
Bluff,99,NZ,1587272511,76,-46.6,168.33,50.0,8.99
Sept-Îles,90,CA,1587272392,79,50.2,-66.38,28.99,8.05
Sørland,99,NO,1587271990,87,67.67,12.69,41.04,8.72
La Ronge,75,CA,1587272516,58,55.1,-105.28,30.2,5.82
Sitka,20,US,1587271879,87,57.05,-135.33,46.4,6.93
Muisne,99,EC,1587272388,87,0.6,-80.03,76.71,4.5
Petropavlovsk-Kamchatskiy,15,RU,1587272143,33,53.05,158.65,42.8,15.66
Ürümqi,3,CN,1587272520,34,43.8,87.6,66.2,4.47
Luganville,40,VU,1587272522,83,-15.53,167.17,82.4,5.82
Ilulissat,99,GL,1587271843,53,69.22,-51.1,23.0,23.04
Tiksi,70,RU,1587272053,89,71.69,128.87,17.6,4.76
Storsteinnes,100,NO,1587272525,86,69.24,19.23,39.2,28.86
Ponta Delgada,75,PT,1587272527,93,37.73,-25.67,62.6,11.41
Lovozero,100,RU,1587272528,90,68.0,35.01,31.37,16.49
Port Hardy,20,CA,1587271955,93,50.7,-127.42,46.4,4.7
Babushkin,69,RU,1587272530,67,51.71,105.86,32.63,13.35
Jingdezhen,90,CN,1587272532,74,29.29,117.21,68.11,7.07
Kwang Binh,80,VN,1587272373,51,17.48,106.6,92.66,5.28
East London,0,ZA,1587271888,72,-33.02,27.91,66.2,8.05
Nouadhibou,0,MR,1587272535,82,20.93,-17.03,64.4,10.29
Vostok,41,RU,1587272537,30,46.49,135.88,55.56,9.13
Kentau,0,KZ,1587272538,18,43.52,68.51,72.9,16.44
Baker City,1,US,1587272539,65,44.77,-117.83,46.4,10.29
Kaeo,100,NZ,1587272540,89,-35.1,173.78,66.99,1.99
Turan,20,VN,1587272537,70,16.07,108.22,93.2,10.29
Manzhouli,49,CN,1587272543,39,49.6,117.43,42.15,16.13
Maués,86,BR,1587272544,97,-3.38,-57.72,73.2,1.25
Pangnirtung,94,CA,1587272545,82,66.15,-65.71,0.61,3.94
Dikson,100,RU,1587272116,93,73.51,80.55,35.2,19.75
Częstochowa,89,PL,1587272548,53,50.8,19.12,37.99,4.7
Esim,80,GH,1587272549,80,4.87,-2.24,80.46,7.34
Airai,37,TL,1587271839,49,-8.93,125.41,72.03,4.38
Severodvinsk,75,RU,1587272551,94,64.56,39.83,33.8,7.54
Longyearbyen,20,SJ,1587272282,79,78.22,15.64,24.8,1.12
Ft. Pierce,1,US,1587272414,94,27.45,-80.33,73.0,4.07
Ginir,99,ET,1587272527,52,7.13,40.7,64.11,2.89
Jacareacanga,75,BR,1587272050,94,-6.22,-57.75,72.25,0.18
Tuatapere,67,NZ,1587271805,78,-46.13,167.68,50.0,8.99
Shar,1,KZ,1587272559,28,49.59,81.05,63.32,5.93
Kristinestad,39,FI,1587272560,78,62.27,21.38,37.98,8.01
Tura,74,IN,1587272561,57,25.52,90.22,82.08,6.62
Diamantino,72,BR,1587272563,86,-14.41,-56.45,70.88,2.48
Matara,3,LK,1587271914,61,5.95,80.54,90.18,9.69
Jodiya,43,IN,1587272565,43,22.69,70.31,91.99,12.21
Curitibanos,20,BR,1587272566,73,-27.28,-50.58,51.57,4.16
Alofi,2,NU,1587272084,74,-19.06,-169.92,82.4,18.34
Magadan,62,RU,1587272569,83,59.57,150.8,15.8,7.76
Tshikapa,99,CD,1587272570,79,-6.42,20.8,71.4,2.55
Sola,80,VU,1587272571,77,-13.88,167.55,83.3,10.78
Kashgar,20,CN,1587272573,51,39.45,75.98,60.8,4.47
Zyryanka,100,RU,1587272574,90,65.75,150.85,11.77,21.45
Nishihara,75,JP,1587272575,83,26.18,127.76,77.0,14.99
Ardakān,40,IR,1587272356,55,32.31,54.02,62.6,6.93
Derzhavīnsk,68,KZ,1587272578,36,51.1,66.32,64.67,15.32
Kalianget,77,ID,1587272579,73,-7.05,113.93,85.37,2.51
Marquette,55,US,1587272580,88,46.53,-87.63,37.0,7.52
Dabakala,92,CI,1587272582,85,8.37,-4.43,75.09,6.15
Shahumyan,20,AM,1587272584,71,39.94,44.57,53.6,2.24
Oktyabr'skiy,0,RU,1587272352,55,54.48,53.47,45.41,11.25
Coahuayana Viejo,17,MX,1587272075,69,18.73,-103.68,74.5,3.51
Murupara,100,NZ,1587272588,70,-38.47,176.7,66.99,4.81
Chui,0,UY,1587272589,89,-33.7,-53.46,62.92,9.6
Fare,70,PF,1587272591,76,-16.7,-151.02,83.77,11.68
Naldurg,9,IN,1587272592,15,17.82,76.3,100.49,3.33
The Valley,20,AI,1587272593,78,18.22,-63.06,79.0,11.41
Srīvardhan,63,IN,1587272058,40,18.03,73.02,94.42,10.87
Thinadhoo,82,MV,1587272597,75,0.53,72.93,84.43,11.05
Dosso,0,NE,1587272598,48,13.05,3.19,81.9,7.76
Puerto Ayacucho,100,VE,1587272600,93,5.66,-67.62,74.3,6.64
Hofn,97,IS,1587272111,88,64.25,-15.21,45.39,12.37
Ostrovnoy,100,RU,1587272603,96,68.05,39.51,32.63,15.82
Shenjiamen,100,CN,1587272581,91,29.96,122.3,60.48,18.23
Alice Springs,41,AU,1587272157,19,-23.7,133.88,91.4,6.93
Severo-Kuril'sk,71,RU,1587272607,93,50.68,156.12,31.59,18.95
Kununurra,51,AU,1587272608,27,-15.77,128.73,100.4,5.82
Ranot,38,TH,1587272610,66,7.78,100.32,87.49,10.85
Necochea,100,AR,1587272049,84,-38.55,-58.74,61.0,10.0
Ambilobe,23,MG,1587272612,56,-13.2,49.05,82.72,3.04
Klyavlino,0,RU,1587272615,56,54.26,52.03,42.91,10.09
Grand Gaube,40,MU,1587272114,74,-20.01,57.66,80.01,14.99
Loukhi,63,RU,1587272619,94,66.08,33.04,32.11,8.03
Aklavik,90,CA,1587272620,73,68.22,-135.01,19.4,9.17
Poum,36,NC,1587272503,77,-20.23,164.02,79.77,14.05
Samarai,57,PG,1587272622,72,-10.62,150.67,84.61,6.8
Omsukchan,100,RU,1587272624,84,62.53,155.8,4.33,9.26
Faanui,80,PF,1587272094,74,-16.48,-151.75,83.21,11.77
Ubari,73,LY,1587272626,22,26.59,12.78,75.7,19.8
Idenao,20,CM,1587272627,100,4.25,9.0,78.8,4.07
Morgan City,1,US,1587272629,100,29.7,-91.21,71.6,13.87
Husavik,90,IS,1587272630,93,66.04,-17.34,35.6,6.93
Abu Samrah,40,SY,1587272631,37,35.3,37.18,69.69,0.54
Uyuni,0,BO,1587272633,20,-20.46,-66.83,43.9,3.74
Saint-Leu,21,RE,1587272636,74,-21.15,55.28,78.8,18.34
Codrington,94,AU,1587272144,59,-38.27,141.97,62.8,7.07
Mahenge,89,TZ,1587272567,79,-8.68,36.72,67.6,4.16
Issia,72,CI,1587272641,92,6.49,-6.59,72.54,2.48
Dalbandin,9,PK,1587272642,19,28.89,64.41,80.53,6.15
Riyadh,75,SA,1587271927,68,24.69,46.72,68.0,10.29
Yeniseysk,0,RU,1587272645,57,58.45,92.17,43.9,10.2
Vao,1,NC,1587272051,74,-22.67,167.48,77.31,10.71
Margate,1,GB,1587272648,89,51.38,1.39,46.99,4.0
Pingdingshan,0,CN,1587272650,38,33.74,113.3,71.91,9.69
Bengkulu,81,ID,1587271850,58,-3.8,102.27,88.32,4.29
Leningradskiy,18,RU,1587272652,89,69.38,178.42,3.65,6.44
Enshi,57,CN,1587272655,50,30.3,109.48,73.76,4.25
Putyatino,51,RU,1587272656,65,54.16,41.12,40.84,8.63
Lusambo,97,CD,1587272657,83,-4.97,23.45,72.07,1.43
Ancud,40,CL,1587271993,87,-41.87,-73.82,50.0,4.7
Quatre Cocos,40,MU,1587272660,74,-20.21,57.76,79.0,14.99
Bandarbeyla,72,SO,1587272649,60,9.49,50.81,82.99,3.85
Jaguaruna,23,BR,1587272452,92,-28.61,-49.03,61.16,2.75
Saint George,20,US,1587272663,44,37.1,-113.58,60.8,4.7
Norman Wells,90,CA,1587272101,96,65.28,-126.83,32.0,6.93
Eskişehir,3,TR,1587272483,30,39.78,30.52,37.4,3.36
Manokwari,72,ID,1587272108,67,-0.87,134.08,84.99,4.16
Macao,40,MO,1587272645,88,22.2,113.55,84.2,10.29
Vytegra,49,RU,1587272669,85,61.01,36.45,34.97,5.23
Lavrentiya,100,RU,1587272541,93,65.58,-171.0,18.99,9.53
Kenai,90,US,1587272672,86,60.55,-151.26,46.4,5.82
Hirara,75,JP,1587272673,74,24.8,125.28,80.6,20.8
Barcelos,40,PT,1587272674,100,41.54,-8.62,52.0,3.91
Isangel,68,VU,1587272101,80,-19.55,169.27,80.22,13.56
Berdigestyakh,100,RU,1587272678,86,62.1,126.7,20.25,5.86
Salinópolis,98,BR,1587272679,80,-0.61,-47.36,80.06,4.97
Vila Velha,40,BR,1587272136,78,-20.33,-40.29,73.4,9.17
Tarauacá,17,BR,1587272681,77,-8.16,-70.77,67.55,2.08
Esik,0,KZ,1587272683,55,43.36,77.45,60.8,6.71
Sigli,61,ID,1587272684,67,5.38,95.96,85.23,2.86
Haines Junction,0,CA,1587272685,51,60.75,-137.51,42.82,1.21
Chitipa,96,MW,1587272686,63,-9.7,33.27,64.76,5.91
Bonavista,63,CA,1587272688,95,48.65,-53.11,28.83,7.18
Santa Rosa,40,PH,1587272689,52,14.31,121.11,95.0,9.17
Yumen,54,CN,1587272174,17,40.28,97.2,60.24,21.77
San Patricio,66,MX,1587272693,74,19.22,-104.7,74.32,8.48
Pisco,1,PE,1587272694,82,-13.7,-76.22,69.01,5.82
Nagato,97,JP,1587272695,50,34.38,131.2,61.0,5.01
Huancabamba,27,PE,1587272696,48,-5.24,-79.45,56.57,5.12
Port Antonio,20,JM,1587272697,78,18.18,-76.46,80.6,5.82
Pokhara,42,NP,1587272165,20,28.23,83.98,81.37,4.94
Egvekinot,100,RU,1587272700,90,66.32,-179.17,9.46,17.52
Vardø,100,NO,1587271912,89,70.37,31.11,35.83,9.22
Nizhneangarsk,20,RU,1587272704,78,55.78,109.55,23.77,16.31
Vanimo,67,PG,1587272705,67,-2.67,141.3,86.09,5.48
Matai,20,TZ,1587272706,93,-8.3,31.52,59.0,9.42
Beringovskiy,100,RU,1587271937,97,63.05,179.32,20.52,16.69
Guerrero Negro,2,MX,1587272142,77,27.98,-114.06,60.12,17.56
College,75,US,1587272620,75,64.86,-147.8,46.4,3.36
Bayburt,20,TR,1587272713,31,40.26,40.23,52.36,4.47
Belyy Yar,0,RU,1587272647,30,53.6,91.39,55.4,8.95
Requena,79,ES,1587272716,97,39.49,-1.1,57.99,1.97
Okhotsk,2,RU,1587272717,80,59.38,143.3,21.43,7.34
Hong Kong,29,HK,1587272476,69,22.29,114.16,82.0,6.96
Ust'-Kulom,100,RU,1587272720,93,61.69,53.69,35.42,3.53
Oranjemund,51,NA,1587272722,79,-28.55,16.43,59.13,1.7
Taoudenni,87,ML,1587272723,59,22.68,-3.98,75.36,7.31
Mtimbira,96,TZ,1587272724,78,-8.78,36.35,75.34,3.38
Tessalit,91,ML,1587272727,23,20.2,1.01,74.48,7.29
Mayo,1,US,1587272728,100,38.89,-76.51,41.0,4.94
Novopokrovka,94,UA,1587272731,51,49.84,36.55,46.44,5.44
North Platte,1,US,1587272733,46,41.12,-100.77,50.0,13.87
Castro,58,BR,1587272734,68,-24.79,-50.01,55.02,5.26
Clyde River,90,CA,1587272736,84,70.47,-68.59,1.4,4.41
Kamloops,20,CA,1587272461,50,50.67,-120.32,55.4,8.05
Tagusao,1,PH,1587272738,64,9.19,117.81,87.62,5.19
Øksfjord,100,NO,1587272739,86,70.24,22.35,37.4,1.12
Camacupa,87,AO,1587272647,64,-12.02,17.48,61.29,4.36
Northam,59,GB,1587272742,97,51.03,-4.22,51.01,10.04
Konëvo,99,RU,1587272745,83,62.12,39.32,35.87,3.98
Goshogawara,75,JP,1587272746,61,40.8,140.44,50.0,20.8
Geraldton,75,AU,1587272748,57,-28.77,114.6,75.2,17.22
Bilibino,48,RU,1587272749,83,68.05,166.44,9.64,5.23
Niterói,75,BR,1587272464,88,-22.88,-43.1,69.8,2.24
Palmira,75,CO,1587272752,94,3.54,-76.3,68.0,4.7
Monrovia,96,LR,1587272522,83,6.3,-10.8,80.1,5.46
Katobu,87,ID,1587272755,51,-4.94,122.53,90.03,5.35
Maumere,3,ID,1587272756,66,-8.62,122.21,85.44,4.72
Portland,90,US,1587272100,87,45.52,-122.68,51.8,3.36
Sorgun,8,TR,1587272760,37,39.81,35.19,55.11,2.62
Lagoa,59,PT,1587272616,64,39.05,-27.98,60.19,21.9
Southbridge,2,US,1587272762,98,42.08,-72.03,34.0,7.85
Mbaïki,66,CF,1587272763,74,3.87,17.99,73.42,3.49
Mount Gambier,75,AU,1587272765,59,-37.83,140.77,62.6,11.41
Boyolangu,79,ID,1587272766,60,-8.12,111.89,88.56,1.52
Nuevo Progreso,30,MX,1587272767,80,23.17,-97.95,78.01,5.84
High Level,75,CA,1587272503,48,58.52,-117.14,42.8,2.24
Kirovsk,100,UA,1587272769,45,48.64,38.64,48.96,8.84
Barreirinhas,91,BR,1587272771,83,-2.75,-42.83,77.45,0.96
Avera,1,US,1587272578,62,33.19,-82.53,57.2,3.36
Saint-Pierre,16,RE,1587272773,74,-21.34,55.48,78.8,18.34
Ananindeua,75,BR,1587272775,94,-1.37,-48.37,77.0,3.36
Marovoay,20,MG,1587272776,83,-16.1,46.63,75.2,5.82
Lázaro Cárdenas,94,MX,1587272781,85,17.96,-102.2,74.84,0.16
Ust-Maya,100,RU,1587272782,85,60.42,134.53,21.29,5.17
Zheleznodorozhnyy,75,RU,1587272783,93,55.75,38.0,37.0,6.71
Bariloche,75,AR,1587272691,87,-41.15,-71.31,48.2,17.22
Gorontalo,29,ID,1587272787,78,0.54,123.06,84.67,1.61
Los Llanos de Aridane,20,ES,1587272788,63,28.66,-17.92,64.4,9.17
Jiblah,100,YE,1587272789,45,13.92,44.15,64.17,2.3
Alpena,75,US,1587272558,43,45.06,-83.43,51.8,13.87
Doha,99,QA,1587272568,83,25.29,51.53,81.0,10.29
Waingapu,13,ID,1587272793,56,-9.66,120.26,87.4,2.55
Aloleng,67,PH,1587272794,63,16.13,119.78,88.12,12.24
Dukat,100,RU,1587272635,82,62.55,155.55,2.28,6.67
Ormara,49,PK,1587272797,49,25.21,64.64,84.76,9.86
Igarka,100,RU,1587272798,85,67.47,86.58,39.56,24.47
Gravdal,100,NO,1587272799,86,68.12,13.5,40.73,7.56
La Rioja,75,ES,1587272801,93,42.25,-2.5,53.6,2.24
Port Elizabeth,0,ZA,1587272803,37,-33.92,25.57,72.54,8.1
Karratha,42,AU,1587272804,36,-20.74,116.85,92.75,12.93
Kumul,75,CN,1587272805,15,42.8,93.45,70.83,7.11
Rock Sound,5,BS,1587272806,77,24.9,-76.2,77.74,6.8
Kalmunai,52,LK,1587272809,61,7.42,81.82,88.36,7.54
Porto União,40,BR,1587272810,70,-26.24,-51.08,54.5,3.71
Broome,10,US,1587272565,80,42.25,-75.83,32.0,1.99
Tiarei,82,PF,1587272812,78,-17.53,-149.33,78.8,4.7
Mkushi,69,ZM,1587272814,56,-13.62,29.39,64.35,11.16
Lethem,33,GY,1587272815,74,3.38,-59.8,78.19,2.15
Provideniya,100,RU,1587272576,95,64.38,-173.3,22.5,14.41
Lebedinyy,100,RU,1587272817,85,58.52,125.52,15.85,12.44
Pacific Grove,40,US,1587272819,71,36.62,-121.92,55.4,4.7
Mwinilunga,67,ZM,1587272820,59,-11.74,24.43,64.35,9.08
Honiara,40,SB,1587272617,70,-9.43,159.95,87.8,9.17
Sur,54,OM,1587272822,29,22.57,59.53,92.3,8.16
Copiapó,0,CL,1587272823,77,-27.37,-70.33,60.8,2.24
Zima,0,RU,1587272825,47,53.92,102.04,39.04,11.34
Rocha,0,UY,1587272826,92,-34.48,-54.33,57.78,7.65
Shache,100,CN,1587272827,31,38.42,77.24,63.57,8.14
Nanyuki,100,KE,1587272828,46,0.02,37.07,64.4,4.41
Laï,86,TD,1587272830,40,9.4,16.3,87.24,2.59
Narasannapeta,0,IN,1587272832,41,18.42,84.05,96.96,14.74
Fuxin,100,CN,1587272833,34,42.02,121.66,63.37,18.12
Tiznit Province,84,MA,1587272834,75,29.58,-9.5,55.27,17.69
Tibú,84,CO,1587272836,88,8.64,-72.74,74.35,2.13
Murmashi,75,RU,1587272837,74,68.82,32.81,35.6,6.71
Kargasok,100,RU,1587272838,54,59.06,80.86,52.0,16.17
Dunedin,55,NZ,1587272588,60,-45.87,170.5,55.99,3.0
Udachny,0,RU,1587272840,31,66.42,112.4,21.2,6.71
Beyneu,100,KZ,1587272842,22,45.32,55.2,72.18,19.75
Lakes Entrance,42,AU,1587272844,46,-37.88,147.98,66.0,4.0
Talcahuano,37,CL,1587272845,100,-36.72,-73.12,53.6,2.24
Tocopilla,16,CL,1587272848,42,-22.09,-70.2,68.11,2.1
Kudahuvadhoo,99,MV,1587272849,73,2.67,72.89,84.52,13.06
Tautira,88,PF,1587272850,78,-17.73,-149.15,78.8,4.7
Kindia,50,GN,1587272851,78,10.06,-12.87,71.85,1.74
Anloga,4,GH,1587272854,79,5.79,0.9,82.42,13.47
Berlevåg,100,NO,1587272587,90,70.86,29.09,38.8,8.84
Campos Belos,89,BR,1587272704,79,-13.04,-46.77,68.07,3.13
Soyo,92,AO,1587272860,83,-6.13,12.37,78.35,4.94
Camapuã,2,BR,1587272861,79,-19.53,-54.04,66.97,6.87
Mayāng Imphāl,20,IN,1587272862,64,24.62,93.88,69.8,2.24
Kafue,40,ZM,1587272864,56,-15.77,28.18,67.89,11.45
Murray Bridge,100,AU,1587272865,57,-35.12,139.27,66.99,3.0
Horki,96,BY,1587272866,69,54.29,30.98,33.8,8.95
Skjervøy,100,NO,1587272867,92,70.03,20.97,40.42,20.92
North Bend,90,US,1587272868,76,43.41,-124.22,52.0,2.33
